Episode,Level,SuccessRate,AverageReward,AverageSteps,Deadlocks
0,0,0.0,-1026.1,500.0,0
50,0,0.0,-1030.0,500.0,0
100,0,0.0,-1030.0,500.0,0
150,0,0.0,-1030.0,500.0,0
200,0,0.0,-1030.0,500.0,0
250,0,0.0,-1028.05,500.0,0
300,0,0.0,-1030.0,500.0,0
350,0,0.0,-1030.0,500.0,0
400,0,0.0,-1028.05,500.0,0
450,0,0.0,-1028.05,500.0,0
500,0,0.0,-55.000000000003,500.0,0
550,0,0.0,-1028.05,500.0,0
600,0,0.0,-1030.0,500.0,0
650,0,0.0,-1030.0,500.0,0
700,0,0.0,-1028.05,500.0,0
750,0,0.0,-1025.6,500.0,0
800,0,0.0,-1021.7,500.0,0
850,0,100.0,115.75000000000009,5.0,0
900,0,0.0,-1023.65,500.0,0
950,0,0.0,-1028.05,500.0,0
1000,0,100.0,115.75000000000009,5.0,0
1050,0,100.0,115.75000000000009,5.0,0
1100,0,100.0,115.75000000000009,5.0,0
1150,0,100.0,115.75000000000009,5.0,0
1200,0,100.0,115.75000000000009,5.0,0
1250,0,100.0,115.75000000000009,5.0,0
1300,0,0.0,-1025.6,500.0,0
1350,0,100.0,115.75000000000009,5.0,0
1400,0,100.0,115.75000000000009,5.0,0
1450,0,100.0,115.75000000000009,5.0,0
1500,0,100.0,115.75000000000009,5.0,0
1550,0,0.0,-1021.7,500.0,0
1600,0,100.0,115.75000000000009,5.0,0
1650,0,100.0,115.75000000000009,5.0,0
1700,0,100.0,115.75000000000009,5.0,0
1750,0,0.0,-1030.0,500.0,0
1800,0,100.0,115.75000000000009,5.0,0
1850,0,100.0,115.75000000000009,5.0,0
1900,0,0.0,-1028.05,500.0,0
1950,0,0.0,-1030.0,500.0,0
2000,0,100.0,115.75000000000009,5.0,0
2050,easy/level_001.txt,0.0,-1028.05,500.0,0
2050,easy/level_002.txt,0.0,-1028.05,500.0,0
2050,easy/level_003.txt,0.0,-1030.0,500.0,0
2050,easy/level_004.txt,0.0,-1026.1,500.0,0
2050,easy/level_005.txt,0.0,-1027.55,500.0,0
2050,easy/level_006.txt,0.0,-1028.05,500.0,0
2050,easy/level_007.txt,0.0,-1010.6,500.0,0
2050,easy/level_008.txt,0.0,-1025.6,500.0,0
2050,easy/level_009.txt,0.0,-1028.05,500.0,0
2050,easy/level_010.txt,0.0,-1024.15,500.0,0
2050,easy/level_011.txt,0.0,-1030.0,500.0,0
2050,easy/level_012.txt,0.0,-1026.1,500.0,0
2050,easy/level_013.txt,0.0,-1028.05,500.0,0
2050,easy/level_014.txt,0.0,-1026.1,500.0,0
2050,easy/level_015.txt,0.0,-1030.0,500.0,0
2050,easy/level_016.txt,0.0,-1027.55,500.0,0
2050,easy/level_017.txt,0.0,-1023.15,500.0,0
2050,easy/level_018.txt,0.0,-1030.0,500.0,0
2050,easy/level_019.txt,0.0,-1030.0,500.0,0
2050,easy/level_020.txt,0.0,-1030.0,500.0,0
2050,easy/level_021.txt,0.0,-1028.05,500.0,0
2050,easy/level_022.txt,0.0,-1022.2,500.0,0
2050,easy/level_023.txt,0.0,-1030.0,500.0,0
2050,easy/level_024.txt,0.0,-1028.05,500.0,0
2050,easy/level_025.txt,0.0,-1024.15,500.0,0
2050,easy/level_026.txt,0.0,-1030.0,500.0,0
